solve time,Result,Name
5000,UNKNOWN,sted6_0x0-135
5000,UNKNOWN,50bit
1239.07,UNSAT,satch2ways15
3863.9,SAT-VERIFIED,Schur_160_5_d24
24.6969,UNSAT,satch2ways12wu
5000,UNKNOWN,Sz512_15127_1.smt2-stp212
5000,UNKNOWN,Schur_160_5_d23
0.189016,SAT-VERIFIED,mrpp_4x4#8_8
5000,UNKNOWN,ecgrid6x225_shuffled
1739.36,SAT-VERIFIED,ASG_96_len112_known_last13_2
105.923,SAT-VERIFIED,Ptn-7824-b21
0.215976,UNSAT,manthey_single-ordered-initialized-w18-b8
45.5004,SAT-VERIFIED,fermat-33106286870663
0.266097,SAT-VERIFIED,mrpp_4x4#6_16
427.398,SAT-VERIFIED,manthey_DimacsSorter_35_7
1.45691,SAT-VERIFIED,mrpp_4x4#10_9
2073.07,UNSAT,hitag2-10-60-0-0xdf7fa6426edec07-17
5000,UNKNOWN,Schur_161_5_d24
2.24472,UNSAT,6s167-opt
856.643,UNSAT,satch2ways14u
1.84696,UNSAT,manthey_single-ordered-initialized-w26-b7
2091.39,UNSAT,rphp4_095_shuffled
3057.25,UNSAT,hitag2-7-60-0-0x39ff85d4ef127de-52
5000,UNKNOWN,Schur_161_5_d23
5000,UNKNOWN,rphp4_120_shuffled
197.86,SAT-VERIFIED,aes_16_10_keyfind_3
2669.42,UNSAT,ablmulub8x16o
376.057,UNSAT,QG7a-gensys-icl009.sat05-3830.reshuffled-07
8.85786,SAT-VERIFIED,manthey_DimacsSorterHalf_31_8
13.5823,SAT-VERIFIED,manthey_DimacsSorter_28_3
4003.12,UNSAT,hitag2-8-60-0-0xfba1a41b5dfd7f7-52
0.569807,UNSAT,manthey_single-ordered-initialized-w22-b8
2686.47,SAT-VERIFIED,VanDerWaerden_pd_2-3-23_505
5000,UNKNOWN,62bits_10.dimacs
123.164,SAT-VERIFIED,manthey_DimacsSorter_28_4
5000,UNKNOWN,58bits_11.dimacs
45.9113,SAT-VERIFIED,manthey_DimacsSorter_30_5
4050.99,UNSAT,hitag2-7-60-0-0xe8fa35372ed37e2-80
5000,UNKNOWN,tph11
5000,UNKNOWN,rphp5_095_shuffled
718.697,SAT-VERIFIED,Ptn-7824-b14
531.373,UNSAT,grain-55-80-0s0-seed-125-45-init-40
189.645,UNSAT,VanDerWaerden_pd_2-3-21_401
193.865,SAT-VERIFIED,46bits_11.dimacs
5000,UNKNOWN,ccp-s8-facto4
63.6855,SAT-VERIFIED,42bits_12.dimacs
1.14688,SAT-VERIFIED,mrpp_4x4#6_24
105.803,SAT-VERIFIED,manthey_DimacsSorter_37_6
27.5924,SAT-VERIFIED,Ptn-7824-b13
0.489419,UNSAT,manthey_single-ordered-initialized-w22-b6
108.891,UNSAT,Sz512_15127_3.smt2-cvc4
0.068227,SAT-VERIFIED,mrpp_4x4#4_16
2987.59,UNSAT,Grain_no_init_ver1_out200_known_last104_0_u
1426.74,SAT-VERIFIED,Ptn-7824-b02
5000,UNKNOWN,rphp5_090_shuffled
5000,UNKNOWN,54bits_13.dimacs
5000,UNKNOWN,Ptn-7824-b05
1.43405,UNSAT,mrpp_6x6#16_9
683.557,SAT-VERIFIED,50bits_10.dimacs
5000,UNKNOWN,66bit
140.262,UNSAT,satch2ways13wu
0.859551,UNSAT,manthey_single-ordered-initialized-w24-b9
158.737,SAT-VERIFIED,ASG_96_len112_known_last12_2
5000,UNKNOWN,quad_res_r37_m39
0.025448,SAT-VERIFIED,e2_2.c.smt2-cvc4
69.4702,UNSAT,jkkk-one-one-10-30-unsat
1.06186,UNSAT,manthey_single-ordered-initialized-w24-b7
1264.48,SAT-VERIFIED,frb80-14-2.used-as.sat04-880
0.758216,SAT-VERIFIED,mrpp_6x6#10_10
1604.81,UNSAT,gripper14u
2326.09,UNSAT,hitag2-8-60-0-0x1eb82244d7f1c3c-47
5000,UNKNOWN,Schur_161_5_d32
752.128,UNSAT,ak016modbtsimpbisc
0.330015,UNSAT,manthey_single-ordered-initialized-w20-b8
5000,UNKNOWN,rphp4_125_shuffled
1513.32,UNSAT,rphp4_090_shuffled
5000,UNKNOWN,Schur_161_5_d35
39.4989,SAT-VERIFIED,Schur_160_5_d40
5000,UNKNOWN,vlsat2_11_42
3107.59,UNSAT,hitag2-7-60-0-0xe97b5f1bee04d70-47
0.159711,UNSAT,dlx1c.ucl.sat.chaff.4.1.bryant
1741.46,SAT-VERIFIED,Schur_160_5_d32
4.21993,SAT-VERIFIED,38bits_10.dimacs
961.869,SAT-VERIFIED,sted4_0x1e3-124
1535.42,UNSAT,Schur_161_5_d40
5000,UNKNOWN,Schur_160_5_d35
5000,UNKNOWN,ecgrid6x220_shuffled
165.194,SAT-VERIFIED,Ptn-7824-b12
125.957,SAT-VERIFIED,rbsat-v760c43649g3
16.2844,UNSAT,6s166
5000,UNKNOWN,tph10
2694.26,SAT-VERIFIED,Ptn-7824-b15
1166.38,UNSAT,Grain_no_init_ver1_out200_known_last105_0_u
3420.6,UNSAT,rphp4_105_shuffled
5000,UNKNOWN,Sz512_15127_4.smt2-cvc4
0.240423,SAT-VERIFIED,mrpp_4x4#4_24
20.5262,SAT-VERIFIED,manthey_DimacsSorter_30_4
217.293,SAT-VERIFIED,manthey_DimacsSorterHalf_29_8
0.34209,SAT-VERIFIED,complete-400-0.1-3-9876543214003
5000,UNKNOWN,Schur_161_5_d22
5000,UNKNOWN,tseitingrid7x180_shuffled
649.527,UNSAT,QG7-dead-dnd001.sat05-3419.reshuffled-07
239.477,UNSAT,AProVE07-27
7.08148,SAT-VERIFIED,em_7_4_9_exp
5000,UNKNOWN,rphp4_155_shuffled
1833.55,SAT-VERIFIED,56bits_12.dimacs
5000,UNKNOWN,rphp5_105_shuffled
0.210042,UNSAT,manthey_single-ordered-initialized-w18-b7
5000,UNKNOWN,countbitsarray04_32
5000,UNKNOWN,Schur_161_5_d25
5000,UNKNOWN,sp5-26-19-una-nons-tree-noid
1314.09,SAT-VERIFIED,manthey_DimacsSorter_35_8
5000,UNKNOWN,quad_res_r31_m35
5000,UNKNOWN,AProVE07-25
5000,UNKNOWN,Schur_160_5_d22
26.473,SAT-VERIFIED,Ptn-7824-b20
4503.69,UNSAT,ecgrid6x250_shuffled
5000,UNKNOWN,sat_prob_63
669.58,SAT-VERIFIED,48bits_12.dimacs
1.90916,UNSAT,manthey_single-ordered-initialized-w26-b8
6.2837,SAT-VERIFIED,manthey_DimacsSorterHalf_33_1
28.5061,SAT-VERIFIED,manthey_DimacsSorter_35_1
5000,UNKNOWN,Schur_160_5_d25
1.43838,SAT-VERIFIED,mrpp_6x6#14_10
437.097,SAT-VERIFIED,sp5-21-15-una-nons-tree-noid
3159.37,UNSAT,hitag2-10-60-0-0x2201a94920a2d2e-8
5000,UNKNOWN,58bits_13.dimacs
660.79,UNSAT,SGI_30_70_20_60_10-dir.shuffled-as.sat03-144
61.0652,SAT-VERIFIED,manthey_DimacsSorterHalf_30_7
109.563,SAT-VERIFIED,manthey_DimacsSorter_36_7
578.735,UNSAT,Schur_161_5_d41
5000,UNKNOWN,Schur_160_5_d34
3134.08,UNSAT,hitag2-8-60-0-0xa3b8497b8aad6d7-42
0.276037,UNSAT,manthey_single-ordered-initialized-w20-b7
5000,UNKNOWN,Schur_160_5_d33
609.163,SAT-VERIFIED,46bits_14.dimacs
6.49082,SAT-VERIFIED,manthey_DimacsSorterHalf_30_0
5000,UNKNOWN,rphp4_150_shuffled
3.93286,SAT-VERIFIED,manthey_DimacsSorter_31_4
0.066742,SAT-VERIFIED,manthey_single-ordered-initialized-w20-b10
5000,UNKNOWN,rphp5_100_shuffled
3299.97,UNSAT,satch2ways15u
5000,UNKNOWN,Schur_161_5_d34
174.302,SAT-VERIFIED,Schur_160_5_d41
799.882,UNSAT,QG7-dead-dnd002.sat05-3108.reshuffled-07
5000,UNKNOWN,tseitingrid7x185_shuffled
4.05182,SAT-VERIFIED,Hidoku_enu_6
3075.77,UNSAT,hitag2-10-60-0-0xe14721bd199894a-99
5000,UNKNOWN,Schur_161_5_d33
5000,UNKNOWN,sted5_0x1e3-20
4552.7,SAT-VERIFIED,manthey_DimacsSorterHalf_37_3
4.51364,UNSAT,mrpp_6x6#18_9
309.772,SAT-VERIFIED,Sz512_15128_1.smt2-cvc4
2.14537,SAT-VERIFIED,mrpp_4x4#10_16
3132.23,UNSAT,hitag2-10-60-0-0xe6754daf48162bf-46
160.253,SAT-VERIFIED,prime_a24_b24
2649.82,UNSAT,hitag2-8-60-0-0xdcdbc8bf368ee73-37
2340.18,UNSAT,hitag2-10-60-0-0x8edc44db7837bbf-65
5000,UNKNOWN,rbsat-v760c43649g8
370.868,SAT-VERIFIED,toughsat_factoring_895s
5000,UNKNOWN,p160_2
192.54,UNSAT,AProVE07-03
5000,UNKNOWN,quad_res_r33_m36
5000,UNKNOWN,Ptn-7824-b04
2783.86,UNSAT,rphp4_100_shuffled
5000,UNKNOWN,toughsat_factoring_inf
5000,UNKNOWN,Ptn-7824-b03
364.582,SAT-VERIFIED,manthey_DimacsSorterHalf_32_1
189.27,UNSAT,VanDerWaerden_pd_2-3-20_390
121.89,SAT-VERIFIED,manthey_DimacsSorterHalf_37_9
5000,UNKNOWN,Schur_160_5_d30
21.2867,UNSAT,mrpp_6x6#20_10
5000,UNKNOWN,62bits_14.dimacs
21.2762,SAT-VERIFIED,manthey_DimacsSorterHalf_30_3
0.985985,SAT-VERIFIED,mrpp_4x4#6_20
5000,UNKNOWN,Schur_161_5_d39
1184,SAT-VERIFIED,50bits_13.dimacs
218.364,SAT-VERIFIED,manthey_DimacsSorter_29_8
