config,bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,solve-time,total-time,solve-result,default-kissat-time,default-kissat-result,cake-verified
default_cake.sh,289-unsat-6x30,652320,0,0,0,0,50.68,1.42,52.1,SAT-VERIFIED,1.11007,SAT-VERIFIED,NA
default_cake.sh,6s166,740512,1571,194,31,1540,99.97,13.47,113.44,UNSAT,13.0948,UNSAT,TRUE
default_cake.sh,aes_16_10_keyfind_3,49648,0,0,0,0,6.01,207.79,213.8,SAT-VERIFIED,195.786,SAT-VERIFIED,NA
default_cake.sh,AProVE07-02,254147,105,40,1,104,100.04,167.18,267.22,UNSAT,149.923,UNSAT,TRUE
default_cake.sh,AProVE07-03,660244,226,17,1,225,41.88,210.85,252.73,UNSAT,168.391,UNSAT,TRUE
default_cake.sh,AProVE07-27,287397,77,8,0,77,100.02,328.68,428.7,UNSAT,209.811,UNSAT,TRUE
default_cake.sh,Chvatal-k5,493004,5765,11,2,5763,99.97,0.07,100.04,SAT-VERIFIED,0.040542,SAT-VERIFIED,NA
default_cake.sh,em_7_4_8_all,385973,6,10,0,6,99.93,37.28,137.21,SAT-VERIFIED,21.7225,SAT-VERIFIED,NA
default_cake.sh,em_7_4_9_all,398621,197,17,0,197,99.98,2.77,102.75,SAT-VERIFIED,5.11359,SAT-VERIFIED,NA
default_cake.sh,em_7_4_9_cmp,1052544,453,73,0,453,99.96,6.52,106.48,SAT-VERIFIED,7.50748,SAT-VERIFIED,NA
default_cake.sh,em_7_4_9_exp,502066,202,43,0,202,99.96,2.29,102.25,SAT-VERIFIED,5.71867,SAT-VERIFIED,NA
default_cake.sh,em_7_4_9_fbc,364278,406,18,0,406,99.94,2.71,102.65,SAT-VERIFIED,17.8438,SAT-VERIFIED,NA
default_cake.sh,em_8_4_5_cmp,493391,2693,38,0,2693,99.92,6.11,106.03,SAT-VERIFIED,239.843,SAT-VERIFIED,NA
default_cake.sh,frb80-14-2.used-as.sat04-880,440144,0,0,0,0,100,1294.75,1394.75,SAT-VERIFIED,1142,SAT-VERIFIED,NA
default_cake.sh,gt-ordering-unsat-gt-035.sat05-1308.reshuffled-07,324870,0,0,0,0,6.98,0.08,7.06,UNSAT,0.195879,UNSAT,TRUE
default_cake.sh,hid-uns-enc-7-1-0-0-0-0-20364,614988,10,0,0,10,100.07,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Hidoku_enu_6,896093,421,0,0,421,100.03,4.87,104.9,SAT-VERIFIED,3.28021,SAT-VERIFIED,NA
default_cake.sh,hitag2-10-60-0-0x2201a94920a2d2e-8,176948,0,0,0,0,54.19,3151.07,3205.26,UNSAT,2885.96,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0x8edc44db7837bbf-65,185490,0,0,0,0,58.22,2351.64,2409.86,UNSAT,2063.78,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xa04d664a73eac4d-66,334333,0,2,0,0,99.94,3414.96,3514.9,UNSAT,3054.36,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xa360966c6eb75c4-62,172957,0,0,0,0,52.79,3379.93,3432.72,UNSAT,3173.44,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xac23f1205f76343-96,329365,0,1,0,0,99.96,4487.61,4587.57,UNSAT,3665.46,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xb7b72dfef34c17b-39,190240,0,0,0,0,61.85,3102.82,3164.67,UNSAT,2733.4,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xbc15b17d0353413-10,328449,0,2,0,0,99.98,2445.46,2545.44,UNSAT,2141.09,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xdf7fa6426edec07-17,329437,0,1,0,0,99.97,2298.76,2398.73,UNSAT,1878.38,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xe14721bd199894a-99,328330,0,1,0,0,99.98,3215.94,3315.92,UNSAT,2816.19,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xe6754daf48162bf-46,330691,0,2,0,0,99.93,2821.8,2921.73,UNSAT,2828.23,UNSAT,TRUE
default_cake.sh,hitag2-10-60-0-0xfee9637399d85a2-78,178652,0,0,0,0,55.62,2836.44,2892.06,UNSAT,2576.84,UNSAT,TRUE
default_cake.sh,hitag2-7-60-0-0x39ff85d4ef127de-52,321298,0,1,0,0,99.97,3218.87,3318.84,UNSAT,2771.82,UNSAT,TRUE
default_cake.sh,hitag2-7-60-0-0x5f8ec0ffa4b15c6-25,326116,0,3,0,0,99.97,2531.76,2631.73,UNSAT,2378.59,UNSAT,TRUE
default_cake.sh,hitag2-7-60-0-0xc048b9ebae66e9d-32-SAT,178879,0,0,0,0,54.98,3258.88,3313.86,SAT-VERIFIED,2931.1,SAT-VERIFIED,NA
default_cake.sh,hitag2-7-60-0-0xe8fa35372ed37e2-80,334553,0,1,0,0,100,3830.79,3930.79,UNSAT,3686.04,UNSAT,TRUE
default_cake.sh,hitag2-7-60-0-0xe97b5f1bee04d70-47,177004,0,0,0,0,53.7,3186.07,3239.77,UNSAT,2864.44,UNSAT,TRUE
default_cake.sh,hitag2-8-60-0-0x880693399044612-25-SAT,326126,0,1,0,0,99.97,2482.08,2582.05,SAT-VERIFIED,216.583,SAT-VERIFIED,NA
default_cake.sh,hitag2-8-60-0-0xa3b8497b8aad6d7-42,324594,0,1,0,0,99.92,3039.25,3139.17,UNSAT,2848.49,UNSAT,TRUE
default_cake.sh,hitag2-8-60-0-0xb2021557d918860-94,312748,0,2,0,0,99.95,4850.02,4949.97,UNSAT,4646.07,UNSAT,TRUE
default_cake.sh,hitag2-8-60-0-0xdcdbc8bf368ee73-37,309204,0,1,0,0,99.98,2725.78,2825.76,UNSAT,2489.74,UNSAT,TRUE
default_cake.sh,hitag2-8-60-0-0xfba1a41b5dfd7f7-52,312829,0,2,0,0,99.96,3966.09,4066.05,UNSAT,3777.33,UNSAT,TRUE
default_cake.sh,maxxor032,215280,0,0,0,0,100.09,88.7,188.79,UNSAT,72.7821,UNSAT,TRUE
default_cake.sh,mrpp_4x4#10_16,804846,2184,82,0,2184,98.68,1.04,99.72,SAT-VERIFIED,1.50946,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#10_20,719484,2361,82,0,2361,99.85,3.48,103.33,SAT-VERIFIED,1.67833,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#10_9,1219355,1152,82,0,1152,88.61,1.77,90.38,SAT-VERIFIED,1.06788,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#4_16,906199,2703,123,1,2702,99.89,0.18,100.07,SAT-VERIFIED,0.056184,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#6_16,909883,2574,102,0,2574,99.76,0.24,100,SAT-VERIFIED,0.200553,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#6_24,655620,3013,100,0,3013,99.9,1.17,101.07,SAT-VERIFIED,0.762489,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#8_10,1244143,1381,96,0,1381,99.93,0.02,99.95,SAT-VERIFIED,0.484492,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#8_8,1140949,999,96,0,999,74.57,0.05,74.62,SAT-VERIFIED,0.125873,SAT-VERIFIED,NA
default_cake.sh,mrpp_6x6#14_10,847913,205,0,0,205,100.09,1.2,101.29,SAT-VERIFIED,0.935334,SAT-VERIFIED,NA
default_cake.sh,mrpp_6x6#18_10,675316,158,0,0,158,100,4.66,104.66,SAT-VERIFIED,4.58731,SAT-VERIFIED,NA
default_cake.sh,mrpp_6x6#20_10,696859,151,0,0,151,100,39.09,139.09,UNSAT,17.3874,UNSAT,TRUE
default_cake.sh,p160_1,52160,0,0,0,0,1.16,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,p160_2,52160,0,0,0,0,1.19,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,QG7-dead-dnd001.sat05-3419.reshuffled-07,768820,3710,15,2,3708,99.35,335.81,435.16,UNSAT,620.262,UNSAT,TRUE
default_cake.sh,QG7-dead-dnd002.sat05-3108.reshuffled-07,733047,3421,12,1,3420,99.81,780.93,880.74,UNSAT,752.176,UNSAT,TRUE
default_cake.sh,QG7-dead-dnd005.sat05-3111.reshuffled-07,1058244,820,18,0,820,83.77,362.5,446.27,UNSAT,584.629,UNSAT,TRUE
default_cake.sh,QG7-gensys-icl006.sat05-3132.reshuffled-07,618789,2630,51,1,2629,99.68,298.39,398.07,UNSAT,294.366,UNSAT,TRUE
default_cake.sh,QG7a-gensys-icl009.sat05-3830.reshuffled-07,558815,2564,20,0,2564,99.84,344.59,444.43,UNSAT,338.359,UNSAT,TRUE
default_cake.sh,rbsat-v760c43649g3,322717,0,0,0,0,99.97,127.47,227.44,SAT-VERIFIED,105.126,SAT-VERIFIED,NA
default_cake.sh,rbsat-v760c43649g6,334280,0,0,0,0,100,24.93,124.93,SAT-VERIFIED,20.1432,SAT-VERIFIED,NA
default_cake.sh,rbsat-v760c43649gyes4,323757,0,0,0,0,99.98,549.38,649.36,SAT-VERIFIED,442.873,SAT-VERIFIED,NA
default_cake.sh,toughsat_factoring_426s,815105,0,21,0,0,67.96,483.61,551.57,SAT-VERIFIED,506.741,SAT-VERIFIED,NA
default_cake.sh,toughsat_factoring_895s,841780,0,27,0,0,73.67,400.29,473.96,SAT-VERIFIED,343.109,SAT-VERIFIED,NA
default_cake.sh,toughsat_factoring_inf,731661,0,25,0,0,75.78,2095.23,2171.01,SAT-VERIFIED,5000,UNKNOWN,NA
default_cake.sh,tph10,64485,945,0,0,945,12.96,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,tph11,90717,1265,0,0,1265,25.22,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,tph12,124218,1650,0,0,1650,46.78,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,VanDerWaerden_pd_2-3-20_388,76258,0,0,0,0,12.92,86.84,99.76,SAT-VERIFIED,70.4452,SAT-VERIFIED,NA
default_cake.sh,VanDerWaerden_pd_2-3-20_390,77042,0,0,0,0,13.12,188.71,201.83,UNSAT,154.375,UNSAT,TRUE
default_cake.sh,VanDerWaerden_pd_2-3-21_401,162138,0,1,0,0,28.36,185.22,213.58,UNSAT,155.986,UNSAT,TRUE
default_cake.sh,VanDerWaerden_pd_2-3-22_464,108826,0,0,0,0,25.45,2576.87,2602.32,UNSAT,2125.73,UNSAT,TRUE
default_cake.sh,VanDerWaerden_pd_2-3-23_505,256706,0,1,0,0,67.7,1231.59,1299.29,SAT-VERIFIED,2291.24,SAT-VERIFIED,NA
default_cake.sh,VanDerWaerden_pd_2-3-23_507,258738,0,1,0,0,68.62,2903.91,2972.53,UNSAT,2412.6,UNSAT,TRUE
default_cake.sh,VanDerWaerden_pd_2-3-24_567,304480,0,1,0,0,99.97,164.31,264.28,SAT-VERIFIED,1976.86,SAT-VERIFIED,NA
default_cake.sh,38bits_10.dimacs,73695,0,1,0,0,1.68,15.53,17.21,SAT-VERIFIED,3.56105,SAT-VERIFIED,NA
default_cake.sh,40bits_10.dimacs,76223,0,1,0,0,1.68,1.35,3.03,SAT-VERIFIED,14.1003,SAT-VERIFIED,NA
default_cake.sh,42bits_12.dimacs,117716,0,5,0,0,3.18,22.33,25.51,SAT-VERIFIED,60.3961,SAT-VERIFIED,NA
default_cake.sh,44bits_11.dimacs,105268,0,3,0,0,2.67,167.51,170.18,SAT-VERIFIED,153.233,SAT-VERIFIED,NA
default_cake.sh,46bits_11.dimacs,113597,0,1,0,0,3.02,393.53,396.55,SAT-VERIFIED,180.164,SAT-VERIFIED,NA
default_cake.sh,46bits_12.dimacs,125786,0,4,0,0,3.52,162.38,165.9,SAT-VERIFIED,74.9493,SAT-VERIFIED,NA
default_cake.sh,46bits_14.dimacs,113647,0,1,0,0,3.05,384.44,387.49,SAT-VERIFIED,584.71,SAT-VERIFIED,NA
default_cake.sh,48bits_11.dimacs,56425,0,0,0,0,1.51,524.14,525.65,SAT-VERIFIED,506.899,SAT-VERIFIED,NA
default_cake.sh,48bits_12.dimacs,55512,0,0,0,0,1.44,664.61,666.05,SAT-VERIFIED,622.649,SAT-VERIFIED,NA
default_cake.sh,48bits_13.dimacs,122490,0,2,0,0,3.24,541.8,545.04,SAT-VERIFIED,753.898,SAT-VERIFIED,NA
default_cake.sh,48bits_14.dimacs,126370,0,2,0,0,3.36,105.8,109.16,SAT-VERIFIED,415.351,SAT-VERIFIED,NA
default_cake.sh,50bits_10.dimacs,158726,0,9,0,0,4.9,279.21,284.11,SAT-VERIFIED,656.812,SAT-VERIFIED,NA
default_cake.sh,50bits_11.dimacs,200148,0,4,0,0,5.98,1494.43,1500.41,SAT-VERIFIED,720.719,SAT-VERIFIED,NA
default_cake.sh,50bits_13.dimacs,158800,0,5,0,0,4.55,199.24,203.79,SAT-VERIFIED,1141.88,SAT-VERIFIED,NA
default_cake.sh,50bits_14.dimacs,159023,0,4,0,0,4.34,2066.27,2070.61,SAT-VERIFIED,1006.74,SAT-VERIFIED,NA
default_cake.sh,52bits_12.dimacs,74133,0,0,0,0,2.08,14.77,16.85,SAT-VERIFIED,12.7302,SAT-VERIFIED,NA
default_cake.sh,54bits_13.dimacs,192894,0,3,0,0,6.1,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,56bits_12.dimacs,197888,0,2,0,0,5.75,4046.31,4052.06,SAT-VERIFIED,1772.44,SAT-VERIFIED,NA
default_cake.sh,58bits_10.dimacs,225792,0,4,0,0,8.05,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,58bits_11.dimacs,309203,0,10,0,0,10.8,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,58bits_13.dimacs,210865,0,3,0,0,7.2,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,62bits_10.dimacs,209025,0,3,0,0,7.29,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,62bits_11.dimacs,259012,0,7,0,0,9.79,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,62bits_14.dimacs,215428,0,3,0,0,7.68,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,64bits_11.dimacs,216753,0,3,0,0,7.08,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,64bits_13.dimacs,240975,0,7,0,0,8.07,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,6s167-opt,973292,709,103,7,702,100.03,1.58,101.61,UNSAT,1.6661,UNSAT,TRUE
default_cake.sh,6s168-opt,575745,144,74,1,143,99.97,4.9,104.87,UNSAT,3.07216,UNSAT,TRUE
