config,bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,generated2,satisfied2,units2,pr-units2,pr-binaries2,pr-time2,inproc-time,kissat-time,total-time,solve-result,pr-res,pr-res2,inproc-solved
default_PR_inproc.sh,6s165,781706,1726,169,32,1694,52.75,-,-,-,-,-,-,0.64,6.34,59.73,UNSAT,TRUE,-,FALSE
default_PR_inproc.sh,aes_24_4_keyfind_2,37900,0,0,0,0,2.13,-,-,-,-,-,-,0.02,109.29,111.44,SAT-INCORRECT,TRUE,-,FALSE
default_PR_inproc.sh,aes_24_4_keyfind_4,37900,0,0,0,0,2.07,-,-,-,-,-,-,0.31,3242.43,3244.81,SAT-INCORRECT,TRUE,-,FALSE
default_PR_inproc.sh,aes_32_3_keyfind_1,48502,0,0,0,0,0.9,-,-,-,-,-,-,0.38,606.58,607.86,SAT-INCORRECT,TRUE,-,FALSE
default_PR_inproc.sh,aes_32_3_keyfind_2,48502,0,0,0,0,0.88,-,-,-,-,-,-,0.39,1565.62,1566.89,SAT-INCORRECT,TRUE,-,FALSE
default_PR_inproc.sh,aes_64_1_keyfind_1,144730,0,0,0,0,2.45,-,-,-,-,-,-,0.39,480.05,482.89,SAT-INCORRECT,TRUE,-,FALSE
default_PR_inproc.sh,battleship-13-25-sat,406,117,0,0,117,99.92,-,-,-,-,-,-,0.02,7.17,107.11,SAT-VERIFIED,TRUE,-,FALSE
default_PR_inproc.sh,battleship-14-14-unsat,64876,0,0,0,0,2.99,-,-,-,-,-,-,0,5000,5000,UNKNOWN,Timeout,-,FALSE
default_PR_inproc.sh,bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99,23772,0,0,0,0,0.67,-,-,-,-,-,-,0.46,1512.02,1513.15,UNSAT,TRUE,-,FALSE
default_PR_inproc.sh,bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34,24470,0,0,0,0,0.74,-,-,-,-,-,-,0.55,2753.52,2754.81,UNSAT,TRUE,-,FALSE
default_PR_inproc.sh,bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98,24362,0,0,0,0,0.71,-,-,-,-,-,-,0.49,1564.67,1565.87,UNSAT,TRUE,-,FALSE
