solve time,Result,Name
1540.26,UNSAT,bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98
5.2912,SAT-VERIFIED,modgen-n200-m90860q08c40-1006
5000,UNKNOWN,tseitingrid7x160_shuffled
5000,UNKNOWN,connm-ue-csp-sat-n800-d-0.02-s1542454144.sat05-533.reshuffled-07
357.008,UNSAT,tseitingrid4x190_shuffled
41.808,SAT-VERIFIED,modgen-n200-m90860q08c40-18972
236.077,UNSAT,hid-uns-enc-6-1-0-0-0-0-17054
5000,UNKNOWN,randomG-Mix-n18-d05
5000,UNKNOWN,tph7
3531.48,UNSAT,fixedbandwidth-eq-33_shuffled
579.801,SAT-VERIFIED,aes_32_3_keyfind_2
4469.86,SAT-VERIFIED,170105432
10.7206,SAT-VERIFIED,modgen-n200-m90860q08c40-25297
63.3801,UNSAT,eqbpwtrc10bpdtlf10
204.542,SAT-VERIFIED,170059081
5000,UNKNOWN,tph9
62.5598,UNSAT,hid-uns-enc-6-1-0-0-0-0-2707
3803.55,UNSAT,fixedbandwidth-eq-32_shuffled
5000,UNKNOWN,ecgrid6x195_shuffled
5000,UNKNOWN,x1_80.shuffled
5000,UNKNOWN,tseitingrid5x200_shuffled
1917,UNSAT,bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99
0.016543,UNSAT,mrpp_4x4#4_4
4296.77,UNSAT,MUS-v320-3
756.593,UNSAT,bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19
3.06293,SAT-VERIFIED,mp1-squ_ali_s10x10_c39_abio_SAT
5000,UNKNOWN,tseitingrid7x165_shuffled
5000,UNKNOWN,tseitingrid6x195_shuffled
5000,UNKNOWN,ecgrid6x205_shuffled
5000,UNKNOWN,tseitingrid6x160_shuffled
132.202,UNSAT,hid-uns-enc-6-1-0-0-0-0-14492
5000,UNKNOWN,tseitingrid7x130_shuffled
0.027293,UNSAT,mrpp_4x4#6_5
5000,UNKNOWN,tseitingrid5x190_shuffled
5000,UNKNOWN,randomG-n20-d05
289.706,UNSAT,tseitingrid4x200_shuffled
5000,UNKNOWN,urq55
118.524,UNSAT,hid-uns-enc-6-1-0-0-0-0-27601
1566.4,UNSAT,fixedbandwidth-eq-31_shuffled
5000,UNKNOWN,rphp5_045_shuffled
831.609,UNSAT,connm-ue-csp-sat-n800-d0.02-s925928766.sat05-538.reshuffled-07
