config,bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,solve-time,total-time,solve-result,default-kissat-time,default-kissat-result,cake-verified
default_cake.sh,6s165,781706,1726,169,32,1694,52.68,1.72,54.4,UNSAT,2.12762,UNSAT,TRUE
default_cake.sh,aes_24_4_keyfind_2,37900,0,0,0,0,2.11,802.21,804.32,SAT-VERIFIED,730.389,SAT-VERIFIED,NA
default_cake.sh,aes_24_4_keyfind_4,37900,0,0,0,0,2.09,463.5,465.59,SAT-VERIFIED,429.517,SAT-VERIFIED,NA
default_cake.sh,aes_32_3_keyfind_1,48502,0,0,0,0,0.86,2861.87,2862.73,SAT-VERIFIED,2553.54,SAT-VERIFIED,NA
default_cake.sh,aes_32_3_keyfind_2,48502,0,0,0,0,0.87,579.06,579.93,SAT-VERIFIED,509.95,SAT-VERIFIED,NA
default_cake.sh,aes_64_1_keyfind_1,144730,0,0,0,0,2.45,2264.53,2266.98,SAT-VERIFIED,2012.85,SAT-VERIFIED,NA
default_cake.sh,battleship-13-25-sat,406,117,0,0,117,99.93,0.87,100.8,SAT-VERIFIED,0.163835,SAT-VERIFIED,NA
default_cake.sh,battleship-14-14-unsat,64876,0,0,0,0,2.99,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99,23772,0,0,0,0,0.64,1911.22,1911.86,UNSAT,1708.79,UNSAT,TRUE
default_cake.sh,bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34,24470,0,0,0,0,0.7,2865.2,2865.9,UNSAT,2605.31,UNSAT,TRUE
default_cake.sh,bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98,24362,0,0,0,0,0.73,1551.31,1552.04,UNSAT,1376.78,UNSAT,TRUE
default_cake.sh,bivium-39-200-0s0-0x53e7622aad02b083b53dcd6a4a76f54a150ceb996ea1dfa300-63,23754,0,0,0,0,0.69,1497.11,1497.8,UNSAT,1348.62,UNSAT,TRUE
default_cake.sh,bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30,27427,0,0,0,0,0.78,2495.01,2495.79,UNSAT,2276.37,UNSAT,TRUE
